City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
75,kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
76,voskresenskoye,RU,66.69,56.84,45.43,Guest House near Istok
78,venice,US,79.0,27.1,-82.45,A Beach Retreat
81,lima,PE,62.6,-12.04,-77.03,Gran Hotel Bolivar Lima
82,komsomolskiy,UZ,86.0,40.43,71.72,Ikathouse
86,kushima,JP,73.4,31.46,131.23,Hanaoka
87,kholm,RU,61.43,59.27,32.85,
88,kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
89,port keats,AU,89.56,-14.25,129.55,TDC Village (Hundred Man Camp)
91,frankfurt,DE,66.99,50.12,8.68,Favored Hotel Scala Frankfurt
92,souillac,MU,69.8,-20.52,57.52,Bils' Villa
93,gikongoro,RW,64.35,-2.46,29.57,Ubumwe Center Kigeme Ltd
95,marataizes,BR,70.63,-21.04,-40.82,Ed. Barra Shopping
96,huarmey,PE,61.47,-10.07,-78.15,Hotel Miramar
97,kavaratti,IN,87.8,10.57,72.64,Bismillah Hotel And Lodging
98,bure,ET,67.33,10.7,37.07,Holiday
99,pitimbu,BR,77.45,-7.47,-34.81,Reserva do Abiaí
100,sainte-marie,RE,73.4,-20.9,55.55,Les pailles en queue de Sainte Marie
101,hilo,US,78.8,19.73,-155.09,Hilo Hawaiian Hotel
103,terenos,BR,69.8,-20.44,-54.86,QUINTAS IN CASA
106,carnarvon,AU,71.6,-24.87,113.63,Hospitality Carnarvon
107,hambantota,LK,93.2,6.12,81.12,Bungalow 63
108,abu samrah,SY,76.23,35.3,37.18,
109,north bend,US,60.01,43.41,-124.22,Red Lion Hotel Coos Bay
110,gladstone,AU,69.8,-23.85,151.25,Metro Hotel and Apartments Gladstone
113,hithadhoo,MV,82.9,-0.6,73.08,Scoop Guest House
115,khandyga,RU,83.82,62.67,135.6,Apel'sin
116,atar,MR,89.96,20.52,-13.05,Oumou Elghoura
117,ponta do sol,PT,68.0,32.67,-17.1,Hotel do Campo
119,gat,IL,77.0,31.61,34.76,רגע בנחת
120,alekseyevskoye,RU,73.4,55.31,50.11,"Motel' ""Kurlyanka"""
122,jiazi,CN,87.19,22.88,116.07,Hotel Jin Hao
125,kavieng,PG,85.41,-2.57,150.8,Nusa Island Retreat
131,sao miguel do araguaia,BR,67.15,-13.28,-50.16,Hotel Executivo Palace
132,lake havasu city,US,91.4,34.48,-114.32,Heat Hotel
