City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Marsabit,KE,2020-06-15 00:38:07,2.33,37.99,61.93,83,12,16.8
278,Cabo San Lucas,MX,2020-06-15 00:33:53,22.89,-109.91,93.99,28,5,17.22
279,Sao Filipe,CV,2020-06-15 00:34:48,14.9,-24.5,77.23,77,1,8.52
280,Salaga,GH,2020-06-15 00:38:08,8.55,-0.52,77.68,83,4,6.69
281,Peniche,PT,2020-06-15 00:38:08,39.36,-9.38,60.01,88,0,2.55
282,Yarmouth,US,2020-06-15 00:34:48,41.71,-70.23,62.6,67,1,8.05
283,Bambous Virieux,MU,2020-06-15 00:34:40,-20.34,57.76,71.6,73,20,8.05
284,Darhan,MN,2020-06-15 00:38:09,49.49,105.92,73.33,37,40,5.48
285,Dogondoutchi,NE,2020-06-15 00:38:09,13.64,4.03,89.08,37,98,6.62
286,Kuala Lumpur,MY,2020-06-15 00:38:07,3.14,101.69,80.01,88,20,1.57
287,Ucluelet,CA,2020-06-15 00:37:37,48.93,-125.55,59.0,72,75,13.87
288,Boguchany,RU,2020-06-15 00:38:10,58.38,97.45,57.6,64,85,6.64
289,Knysna,ZA,2020-06-15 00:38:10,-34.04,23.05,51.8,100,100,4.7
290,Yarim,YE,2020-06-15 00:38:11,14.3,44.38,60.98,32,79,6.31
291,Naron,ES,2020-06-15 00:38:11,43.52,-8.15,60.01,87,50,8.05
292,La Palma,US,2020-06-15 00:38:11,33.85,-118.05,82.99,41,1,6.93
293,Chuy,UY,2020-06-15 00:38:11,-33.7,-53.46,44.22,67,0,2.95
294,Falun,SE,2020-06-15 00:38:11,60.6,15.63,60.8,48,0,5.82
295,Westport,US,2020-06-15 00:33:55,41.14,-73.36,66.99,52,1,5.82
296,North Platte,US,2020-06-15 00:36:11,41.12,-100.77,95.0,20,1,19.46
297,Matara,LK,2020-06-15 00:38:12,5.95,80.54,81.3,86,95,10.16
298,Adrar,MR,2020-06-15 00:38:12,20.5,-10.07,96.39,16,0,12.39
299,Katsuura,JP,2020-06-15 00:38:12,35.13,140.3,84.99,83,75,5.82
300,Takoradi,GH,2020-06-15 00:37:36,4.88,-1.76,78.24,89,100,8.75
301,Belle Fourche,US,2020-06-15 00:38:13,44.67,-103.85,88.0,18,15,32.99
302,Chapais,CA,2020-06-15 00:38:13,49.78,-74.85,62.6,29,1,3.36
303,Whitefish,US,2020-06-15 00:34:01,48.41,-114.34,60.8,38,20,14.99
304,Mmabatho,ZA,2020-06-15 00:38:13,-25.85,25.63,33.8,64,0,3.36
